method,data_fraction,seed,accuracy,macro_f1,micro_f1,hamming_loss
setfit,0.01,42,0.33665008291873966,0.26452131577731414,0.46108802417831507,0.037550343520492774
setfit,0.05,42,0.3902708678828082,0.37496387676100723,0.5001286339078981,0.03835978835978836
setfit,0.1,42,0.4070388796756956,0.40567039718422626,0.5177470421596401,0.0380899734133565
setfit,0.25,42,0.4256495301271421,0.4385338222148465,0.5366291401533693,0.03737924135934086
setfit,0.5,42,0.43246729316381055,0.448319668422697,0.5401792991035045,0.03712916896996499
