method,data_fraction,seed,emotion,f1,precision,recall
setfit,0.1,7,relief,0.0,0.0,0.0
setfit,0.1,7,remorse,0.5504587155963303,0.5660377358490566,0.5357142857142857
setfit,0.1,7,sadness,0.46387832699619774,0.5700934579439252,0.391025641025641
setfit,0.1,7,surprise,0.4489795918367347,0.5288461538461539,0.3900709219858156
setfit,0.25,7,admiration,0.6875612144955926,0.6789168278529981,0.6964285714285714
setfit,0.25,7,amusement,0.7972270363951474,0.7348242811501597,0.8712121212121212
setfit,0.25,7,anger,0.3987730061349693,0.5078125,0.3282828282828283
setfit,0.25,7,annoyance,0.2975420439844761,0.25386313465783666,0.359375
setfit,0.25,7,approval,0.3486033519553073,0.2867647058823529,0.4444444444444444
setfit,0.25,7,caring,0.4050632911392405,0.47058823529411764,0.35555555555555557
setfit,0.25,7,confusion,0.3781818181818182,0.4262295081967213,0.33986928104575165
setfit,0.25,7,curiosity,0.5281899109792285,0.4564102564102564,0.6267605633802817
setfit,0.25,7,desire,0.45255474452554745,0.5740740740740741,0.37349397590361444
setfit,0.25,7,disappointment,0.29535864978902954,0.4069767441860465,0.23178807947019867
setfit,0.25,7,disapproval,0.3627287853577371,0.3263473053892216,0.40823970037453183
setfit,0.25,7,disgust,0.42487046632124353,0.5857142857142857,0.3333333333333333
setfit,0.25,7,embarrassment,0.43137254901960786,0.7857142857142857,0.2972972972972973
setfit,0.25,7,excitement,0.3695652173913043,0.41975308641975306,0.3300970873786408
setfit,0.25,7,fear,0.6370370370370371,0.7543859649122807,0.5512820512820513
setfit,0.25,7,gratitude,0.8995756718528995,0.895774647887324,0.9034090909090909
setfit,0.25,7,grief,0.0,0.0,0.0
setfit,0.25,7,joy,0.5476923076923077,0.5426829268292683,0.5527950310559007
setfit,0.25,7,love,0.7854251012145749,0.7578125,0.8151260504201681
setfit,0.25,7,nervousness,0.20689655172413793,0.5,0.13043478260869565
setfit,0.25,7,neutral,0.5796361315033515,0.674591381872214,0.5081141578063794
setfit,0.25,7,optimism,0.5071225071225072,0.5393939393939394,0.478494623655914
setfit,0.25,7,pride,0.0,0.0,0.0
setfit,0.25,7,realization,0.21621621621621623,0.3116883116883117,0.16551724137931034
setfit,0.25,7,relief,0.16666666666666666,1.0,0.09090909090909091
setfit,0.25,7,remorse,0.5636363636363636,0.5740740740740741,0.5535714285714286
setfit,0.25,7,sadness,0.5114503816793893,0.6320754716981132,0.42948717948717946
setfit,0.25,7,surprise,0.48,0.4925373134328358,0.46808510638297873
setfit,0.5,7,admiration,0.7031700288184438,0.6815642458100558,0.7261904761904762
setfit,0.5,7,amusement,0.7878787878787878,0.7441077441077442,0.8371212121212122
setfit,0.5,7,anger,0.35668789808917195,0.4827586206896552,0.2828282828282828
setfit,0.5,7,annoyance,0.35013262599469497,0.30414746543778803,0.4125
setfit,0.5,7,approval,0.3540983606557377,0.2872340425531915,0.46153846153846156
setfit,0.5,7,caring,0.36585365853658536,0.40540540540540543,0.3333333333333333
setfit,0.5,7,confusion,0.34615384615384615,0.33962264150943394,0.35294117647058826
setfit,0.5,7,curiosity,0.5345622119815668,0.47411444141689374,0.6126760563380281
setfit,0.5,7,desire,0.42748091603053434,0.5833333333333334,0.3373493975903614
setfit,0.5,7,disappointment,0.25316455696202533,0.3488372093023256,0.1986754966887417
setfit,0.5,7,disapproval,0.3827751196172249,0.3333333333333333,0.449438202247191
setfit,0.5,7,disgust,0.4270833333333333,0.5942028985507246,0.3333333333333333
setfit,0.5,7,embarrassment,0.375,0.8181818181818182,0.24324324324324326
setfit,0.5,7,excitement,0.3930635838150289,0.4857142857142857,0.3300970873786408
setfit,0.5,7,fear,0.6857142857142857,0.7741935483870968,0.6153846153846154
setfit,0.5,7,gratitude,0.901685393258427,0.8916666666666667,0.9119318181818182
setfit,0.5,7,grief,0.0,0.0,0.0
setfit,0.5,7,joy,0.5950920245398773,0.5878787878787879,0.6024844720496895
setfit,0.5,7,love,0.7735470941883767,0.7394636015325671,0.8109243697478992
setfit,0.5,7,nervousness,0.3333333333333333,0.7142857142857143,0.21739130434782608
setfit,0.5,7,neutral,0.5747800586510264,0.6879875195007801,0.493564633463906
setfit,0.5,7,optimism,0.5714285714285714,0.6097560975609756,0.5376344086021505
setfit,0.5,7,pride,0.11764705882352941,1.0,0.0625
setfit,0.5,7,realization,0.1686746987951807,0.20192307692307693,0.14482758620689656
setfit,0.5,7,relief,0.14285714285714285,0.3333333333333333,0.09090909090909091
setfit,0.5,7,remorse,0.6037735849056604,0.64,0.5714285714285714
setfit,0.5,7,sadness,0.5109489051094891,0.5932203389830508,0.44871794871794873
setfit,0.5,7,surprise,0.5163636363636364,0.5298507462686567,0.5035460992907801
setfit,0.01,42,admiration,0.5892857142857143,0.673469387755102,0.5238095238095238
setfit,0.01,42,amusement,0.7862595419847328,0.7923076923076923,0.7803030303030303
setfit,0.01,42,anger,0.12844036697247707,0.7,0.0707070707070707
