method,data_fraction,seed,emotion,f1,precision,recall
distilbert,0.5,7,admiration,0.6791277258566978,0.7124183006535948,0.6488095238095238
distilbert,0.5,7,amusement,0.8330275229357799,0.8078291814946619,0.8598484848484849
distilbert,0.5,7,anger,0.40816326530612246,0.625,0.30303030303030304
distilbert,0.5,7,annoyance,0.006172839506172839,0.25,0.003125
distilbert,0.5,7,approval,0.32644628099173556,0.5939849624060151,0.22507122507122507
distilbert,0.5,7,caring,0.08391608391608392,0.75,0.044444444444444446
distilbert,0.5,7,confusion,0.2222222222222222,0.5833333333333334,0.13725490196078433
distilbert,0.5,7,curiosity,0.453781512605042,0.5625,0.38028169014084506
distilbert,0.5,7,desire,0.27722772277227725,0.7777777777777778,0.1686746987951807
distilbert,0.5,7,disappointment,0.0,0.0,0.0
distilbert,0.5,7,disapproval,0.2006079027355623,0.532258064516129,0.12359550561797752
distilbert,0.5,7,disgust,0.0,0.0,0.0
distilbert,0.5,7,embarrassment,0.0,0.0,0.0
distilbert,0.5,7,excitement,0.07476635514018691,1.0,0.038834951456310676
distilbert,0.5,7,fear,0.26373626373626374,0.9230769230769231,0.15384615384615385
distilbert,0.5,7,gratitude,0.9194729136163983,0.9486404833836858,0.8920454545454546
distilbert,0.5,7,grief,0.0,0.0,0.0
distilbert,0.5,7,joy,0.5461254612546126,0.6727272727272727,0.45962732919254656
distilbert,0.5,7,love,0.8170212765957446,0.8275862068965517,0.8067226890756303
distilbert,0.5,7,nervousness,0.0,0.0,0.0
distilbert,0.5,7,neutral,0.6248423707440101,0.7155234657039711,0.5545607162842753
distilbert,0.5,7,optimism,0.5154639175257731,0.7142857142857143,0.4032258064516129
distilbert,0.5,7,pride,0.0,0.0,0.0
distilbert,0.5,7,realization,0.0,0.0,0.0
distilbert,0.5,7,relief,0.0,0.0,0.0
distilbert,0.5,7,remorse,0.5825242718446602,0.6382978723404256,0.5357142857142857
distilbert,0.5,7,sadness,0.5,0.7916666666666666,0.36538461538461536
distilbert,0.5,7,surprise,0.4019607843137255,0.6507936507936508,0.2907801418439716
distilbert,1.0,7,admiration,0.6935483870967742,0.7049180327868853,0.6825396825396826
distilbert,1.0,7,amusement,0.8306010928961749,0.8,0.8636363636363636
distilbert,1.0,7,anger,0.46006389776357826,0.6260869565217392,0.36363636363636365
distilbert,1.0,7,annoyance,0.1984732824427481,0.5342465753424658,0.121875
distilbert,1.0,7,approval,0.3561643835616438,0.56875,0.25925925925925924
distilbert,1.0,7,caring,0.3673469387755102,0.5901639344262295,0.26666666666666666
distilbert,1.0,7,confusion,0.4051724137931034,0.5949367088607594,0.30718954248366015
distilbert,1.0,7,curiosity,0.4628099173553719,0.56,0.39436619718309857
distilbert,1.0,7,desire,0.423728813559322,0.7142857142857143,0.30120481927710846
distilbert,1.0,7,disappointment,0.12121212121212122,0.7142857142857143,0.06622516556291391
distilbert,1.0,7,disapproval,0.32041343669250644,0.5166666666666667,0.23220973782771537
distilbert,1.0,7,disgust,0.4431818181818182,0.7358490566037735,0.3170731707317073
distilbert,1.0,7,embarrassment,0.14285714285714285,0.6,0.08108108108108109
distilbert,1.0,7,excitement,0.3609022556390977,0.8,0.23300970873786409
distilbert,1.0,7,fear,0.6577181208053692,0.6901408450704225,0.6282051282051282
distilbert,1.0,7,gratitude,0.9197080291970803,0.9459459459459459,0.8948863636363636
distilbert,1.0,7,grief,0.0,0.0,0.0
distilbert,1.0,7,joy,0.6028368794326241,0.7024793388429752,0.5279503105590062
distilbert,1.0,7,love,0.8168421052631579,0.8185654008438819,0.8151260504201681
distilbert,1.0,7,nervousness,0.0,0.0,0.0
distilbert,1.0,7,neutral,0.6396810794234897,0.7075983717774763,0.5836597649692221
distilbert,1.0,7,optimism,0.5514950166112956,0.7217391304347827,0.44623655913978494
distilbert,1.0,7,pride,0.0,0.0,0.0
distilbert,1.0,7,realization,0.1696969696969697,0.7,0.09655172413793103
distilbert,1.0,7,relief,0.0,0.0,0.0
distilbert,1.0,7,remorse,0.625,0.625,0.625
distilbert,1.0,7,sadness,0.5533596837944664,0.7216494845360825,0.44871794871794873
distilbert,1.0,7,surprise,0.5,0.6060606060606061,0.425531914893617
distilbert,0.01,21,admiration,0.0,0.0,0.0
distilbert,0.01,21,amusement,0.0,0.0,0.0
distilbert,0.01,21,anger,0.0,0.0,0.0
distilbert,0.01,21,annoyance,0.0,0.0,0.0
distilbert,0.01,21,approval,0.0,0.0,0.0
distilbert,0.01,21,caring,0.0,0.0,0.0
distilbert,0.01,21,confusion,0.0,0.0,0.0
distilbert,0.01,21,curiosity,0.0,0.0,0.0
distilbert,0.01,21,desire,0.0,0.0,0.0
distilbert,0.01,21,disappointment,0.0,0.0,0.0
distilbert,0.01,21,disapproval,0.0,0.0,0.0
distilbert,0.01,21,disgust,0.0,0.0,0.0
distilbert,0.01,21,embarrassment,0.0,0.0,0.0
distilbert,0.01,21,excitement,0.0,0.0,0.0
distilbert,0.01,21,fear,0.0,0.0,0.0
distilbert,0.01,21,gratitude,0.0,0.0,0.0
distilbert,0.01,21,grief,0.0,0.0,0.0
distilbert,0.01,21,joy,0.0,0.0,0.0
distilbert,0.01,21,love,0.0,0.0,0.0
distilbert,0.01,21,nervousness,0.0,0.0,0.0
distilbert,0.01,21,neutral,0.0,0.0,0.0
distilbert,0.01,21,optimism,0.0,0.0,0.0
distilbert,0.01,21,pride,0.0,0.0,0.0
distilbert,0.01,21,realization,0.0,0.0,0.0
distilbert,0.01,21,relief,0.0,0.0,0.0
distilbert,0.01,21,remorse,0.0,0.0,0.0
distilbert,0.01,21,sadness,0.0,0.0,0.0
distilbert,0.01,21,surprise,0.0,0.0,0.0
distilbert,0.05,21,admiration,0.0,0.0,0.0
distilbert,0.05,21,amusement,0.0,0.0,0.0
distilbert,0.05,21,anger,0.0,0.0,0.0
distilbert,0.05,21,annoyance,0.0,0.0,0.0
distilbert,0.05,21,approval,0.0,0.0,0.0
distilbert,0.05,21,caring,0.0,0.0,0.0
distilbert,0.05,21,confusion,0.0,0.0,0.0
distilbert,0.05,21,curiosity,0.0,0.0,0.0
distilbert,0.05,21,desire,0.0,0.0,0.0
distilbert,0.05,21,disappointment,0.0,0.0,0.0
distilbert,0.05,21,disapproval,0.0,0.0,0.0
distilbert,0.05,21,disgust,0.0,0.0,0.0
distilbert,0.05,21,embarrassment,0.0,0.0,0.0
distilbert,0.05,21,excitement,0.0,0.0,0.0
distilbert,0.05,21,fear,0.0,0.0,0.0
distilbert,0.05,21,gratitude,0.0,0.0,0.0
distilbert,0.05,21,grief,0.0,0.0,0.0
distilbert,0.05,21,joy,0.0,0.0,0.0
distilbert,0.05,21,love,0.0,0.0,0.0
distilbert,0.05,21,nervousness,0.0,0.0,0.0
distilbert,0.05,21,neutral,0.0,0.0,0.0
distilbert,0.05,21,optimism,0.0,0.0,0.0
distilbert,0.05,21,pride,0.0,0.0,0.0
distilbert,0.05,21,realization,0.0,0.0,0.0
distilbert,0.05,21,relief,0.0,0.0,0.0
distilbert,0.05,21,remorse,0.0,0.0,0.0
distilbert,0.05,21,sadness,0.0,0.0,0.0
distilbert,0.05,21,surprise,0.0,0.0,0.0
distilbert,0.1,21,admiration,0.0,0.0,0.0
distilbert,0.1,21,amusement,0.0,0.0,0.0
distilbert,0.1,21,anger,0.0,0.0,0.0
distilbert,0.1,21,annoyance,0.0,0.0,0.0
distilbert,0.1,21,approval,0.0,0.0,0.0
distilbert,0.1,21,caring,0.0,0.0,0.0
distilbert,0.1,21,confusion,0.0,0.0,0.0
distilbert,0.1,21,curiosity,0.0,0.0,0.0
distilbert,0.1,21,desire,0.0,0.0,0.0
distilbert,0.1,21,disappointment,0.0,0.0,0.0
distilbert,0.1,21,disapproval,0.0,0.0,0.0
distilbert,0.1,21,disgust,0.0,0.0,0.0
distilbert,0.1,21,embarrassment,0.0,0.0,0.0
distilbert,0.1,21,excitement,0.0,0.0,0.0
distilbert,0.1,21,fear,0.0,0.0,0.0
distilbert,0.1,21,gratitude,0.0,0.0,0.0
distilbert,0.1,21,grief,0.0,0.0,0.0
distilbert,0.1,21,joy,0.0,0.0,0.0
distilbert,0.1,21,love,0.0,0.0,0.0
distilbert,0.1,21,nervousness,0.0,0.0,0.0
distilbert,0.1,21,neutral,0.5262471470492338,0.63046875,0.4515948517067711
distilbert,0.1,21,optimism,0.0,0.0,0.0
distilbert,0.1,21,pride,0.0,0.0,0.0
distilbert,0.1,21,realization,0.0,0.0,0.0
distilbert,0.1,21,relief,0.0,0.0,0.0
distilbert,0.1,21,remorse,0.0,0.0,0.0
distilbert,0.1,21,sadness,0.0,0.0,0.0
distilbert,0.1,21,surprise,0.0,0.0,0.0
distilbert,0.25,21,admiration,0.6386192017259978,0.6997635933806147,0.5873015873015873
distilbert,0.25,21,amusement,0.7695390781563126,0.8170212765957446,0.7272727272727273
distilbert,0.25,21,anger,0.0,0.0,0.0
distilbert,0.25,21,annoyance,0.0,0.0,0.0
distilbert,0.25,21,approval,0.0,0.0,0.0
distilbert,0.25,21,caring,0.0,0.0,0.0
distilbert,0.25,21,confusion,0.0,0.0,0.0
distilbert,0.25,21,curiosity,0.24225352112676057,0.6056338028169014,0.15140845070422534
distilbert,0.25,21,desire,0.0,0.0,0.0
distilbert,0.25,21,disappointment,0.0,0.0,0.0
distilbert,0.25,21,disapproval,0.0,0.0,0.0
distilbert,0.25,21,disgust,0.0,0.0,0.0
distilbert,0.25,21,embarrassment,0.0,0.0,0.0
distilbert,0.25,21,excitement,0.0,0.0,0.0
distilbert,0.25,21,fear,0.0,0.0,0.0
distilbert,0.25,21,gratitude,0.9166666666666666,0.9625,0.875
distilbert,0.25,21,grief,0.0,0.0,0.0
distilbert,0.25,21,joy,0.11627906976744186,0.9090909090909091,0.062111801242236024
distilbert,0.25,21,love,0.7835497835497836,0.8080357142857143,0.7605042016806722
distilbert,0.25,21,nervousness,0.0,0.0,0.0
