method,data_fraction,seed,emotion,precision,recall,f1,support,tp,fp,fn,tn
setfit,0.1,7,anger,0.4915254237288136,0.2929292929292929,0.3670886075949367,198,58,60,140,5169
setfit,0.1,7,annoyance,0.2706131078224101,0.4,0.3228247162673392,320,128,345,192,4762
setfit,0.1,7,approval,0.2514970059880239,0.4786324786324786,0.3297350343473994,351,168,500,183,4576
setfit,0.1,7,caring,0.5423728813559322,0.237037037037037,0.3298969072164948,135,32,27,103,5265
setfit,0.1,7,confusion,0.3496503496503496,0.326797385620915,0.3378378378378378,153,50,93,103,5181
setfit,0.1,7,curiosity,0.4277929155313351,0.5528169014084507,0.4823348694316436,284,157,210,127,4933
setfit,0.1,7,desire,0.5609756097560976,0.2771084337349397,0.3709677419354839,83,23,18,60,5326
setfit,0.1,7,disappointment,0.3513513513513513,0.086092715231788,0.1382978723404255,151,13,24,138,5252
setfit,0.1,7,disapproval,0.3112391930835735,0.4044943820224719,0.3517915309446254,267,108,239,159,4921
setfit,0.1,7,disgust,0.7346938775510204,0.2926829268292683,0.4186046511627907,123,36,13,87,5291
setfit,0.1,7,embarrassment,0.8888888888888888,0.2162162162162162,0.3478260869565217,37,8,1,29,5389
setfit,0.1,7,excitement,0.5,0.2718446601941747,0.3522012578616352,103,28,28,75,5296
setfit,0.1,7,fear,0.84,0.5384615384615384,0.65625,78,42,8,36,5341
setfit,0.1,7,gratitude,0.913793103448276,0.9034090909090908,0.9085714285714286,352,318,30,34,5045
setfit,0.1,7,grief,0.0,0.0,0.0,6,0,0,6,5421
setfit,0.1,7,joy,0.6,0.577639751552795,0.5886075949367089,161,93,62,68,5204
setfit,0.1,7,love,0.7489361702127659,0.7394957983193278,0.7441860465116279,238,176,59,62,5130
setfit,0.1,7,nervousness,0.4,0.0869565217391304,0.1428571428571428,23,2,3,21,5401
setfit,0.1,7,neutral,0.6749611197511665,0.4857302742025741,0.5649202733485194,1787,868,418,919,3222
setfit,0.1,7,optimism,0.625,0.5376344086021505,0.5780346820809249,186,100,60,86,5181
setfit,0.1,7,pride,0.0,0.0,0.0,16,0,0,16,5411
setfit,0.1,7,realization,0.1578947368421052,0.0620689655172413,0.0891089108910891,145,9,48,136,5234
setfit,0.1,7,relief,0.0,0.0,0.0,11,0,0,11,5416
setfit,0.1,7,remorse,0.5660377358490566,0.5357142857142857,0.5504587155963303,56,30,23,26,5348
setfit,0.1,7,sadness,0.5700934579439252,0.391025641025641,0.4638783269961977,156,61,46,95,5225
setfit,0.1,7,surprise,0.5288461538461539,0.3900709219858156,0.4489795918367347,141,55,49,86,5237
setfit,0.25,7,admiration,0.6789168278529981,0.6964285714285714,0.6875612144955926,504,351,166,153,4757
setfit,0.25,7,amusement,0.7348242811501597,0.8712121212121212,0.7972270363951474,264,230,83,34,5080
setfit,0.25,7,anger,0.5078125,0.3282828282828283,0.3987730061349693,198,65,63,133,5166
setfit,0.25,7,annoyance,0.2538631346578366,0.359375,0.2975420439844761,320,115,338,205,4769
setfit,0.25,7,approval,0.2867647058823529,0.4444444444444444,0.3486033519553073,351,156,388,195,4688
setfit,0.25,7,caring,0.4705882352941176,0.3555555555555555,0.4050632911392405,135,48,54,87,5238
setfit,0.25,7,confusion,0.4262295081967213,0.3398692810457516,0.3781818181818182,153,52,70,101,5204
setfit,0.25,7,curiosity,0.4564102564102564,0.6267605633802817,0.5281899109792285,284,178,212,106,4931
setfit,0.25,7,desire,0.5740740740740741,0.3734939759036144,0.4525547445255474,83,31,23,52,5321
setfit,0.25,7,disappointment,0.4069767441860465,0.2317880794701986,0.2953586497890295,151,35,51,116,5225
setfit,0.25,7,disapproval,0.3263473053892216,0.4082397003745318,0.3627287853577371,267,109,225,158,4935
setfit,0.25,7,disgust,0.5857142857142857,0.3333333333333333,0.4248704663212435,123,41,29,82,5275
setfit,0.25,7,embarrassment,0.7857142857142857,0.2972972972972973,0.4313725490196078,37,11,3,26,5387
setfit,0.25,7,excitement,0.419753086419753,0.3300970873786408,0.3695652173913043,103,34,47,69,5277
setfit,0.25,7,fear,0.7543859649122807,0.5512820512820513,0.6370370370370371,78,43,14,35,5335
setfit,0.25,7,gratitude,0.895774647887324,0.9034090909090908,0.8995756718528995,352,318,37,34,5038
setfit,0.25,7,grief,0.0,0.0,0.0,6,0,0,6,5421
setfit,0.25,7,joy,0.5426829268292683,0.5527950310559007,0.5476923076923077,161,89,75,72,5191
setfit,0.25,7,love,0.7578125,0.8151260504201681,0.7854251012145749,238,194,62,44,5127
setfit,0.25,7,nervousness,0.5,0.1304347826086956,0.2068965517241379,23,3,3,20,5401
setfit,0.25,7,neutral,0.674591381872214,0.5081141578063794,0.5796361315033515,1787,908,438,879,3202
setfit,0.25,7,optimism,0.5393939393939394,0.478494623655914,0.5071225071225072,186,89,76,97,5165
setfit,0.25,7,pride,0.0,0.0,0.0,16,0,0,16,5411
setfit,0.25,7,realization,0.3116883116883117,0.1655172413793103,0.2162162162162162,145,24,53,121,5229
setfit,0.25,7,relief,1.0,0.0909090909090909,0.1666666666666666,11,1,0,10,5416
setfit,0.25,7,remorse,0.5740740740740741,0.5535714285714286,0.5636363636363636,56,31,23,25,5348
setfit,0.25,7,sadness,0.6320754716981132,0.4294871794871794,0.5114503816793893,156,67,39,89,5232
setfit,0.25,7,surprise,0.4925373134328358,0.4680851063829787,0.48,141,66,68,75,5218
setfit,0.5,7,admiration,0.6815642458100558,0.7261904761904762,0.7031700288184438,504,366,171,138,4752
setfit,0.5,7,amusement,0.7441077441077442,0.8371212121212122,0.7878787878787878,264,221,76,43,5087
setfit,0.5,7,anger,0.4827586206896552,0.2828282828282828,0.3566878980891719,198,56,60,142,5169
setfit,0.5,7,annoyance,0.304147465437788,0.4125,0.3501326259946949,320,132,302,188,4805
setfit,0.5,7,approval,0.2872340425531915,0.4615384615384615,0.3540983606557377,351,162,402,189,4674
setfit,0.5,7,caring,0.4054054054054054,0.3333333333333333,0.3658536585365853,135,45,66,90,5226
setfit,0.5,7,confusion,0.3396226415094339,0.3529411764705882,0.3461538461538461,153,54,105,99,5169
setfit,0.5,7,curiosity,0.4741144414168937,0.6126760563380281,0.5345622119815668,284,174,193,110,4950
setfit,0.5,7,desire,0.5833333333333334,0.3373493975903614,0.4274809160305343,83,28,20,55,5324
setfit,0.5,7,disappointment,0.3488372093023256,0.1986754966887417,0.2531645569620253,151,30,56,121,5220
setfit,0.5,7,disapproval,0.3333333333333333,0.449438202247191,0.3827751196172249,267,120,240,147,4920
setfit,0.5,7,disgust,0.5942028985507246,0.3333333333333333,0.4270833333333333,123,41,28,82,5276
setfit,0.5,7,embarrassment,0.8181818181818182,0.2432432432432432,0.375,37,9,2,28,5388
setfit,0.5,7,excitement,0.4857142857142857,0.3300970873786408,0.3930635838150289,103,34,36,69,5288
setfit,0.5,7,fear,0.7741935483870968,0.6153846153846154,0.6857142857142857,78,48,14,30,5335
setfit,0.5,7,gratitude,0.8916666666666667,0.9119318181818182,0.901685393258427,352,321,39,31,5036
setfit,0.5,7,grief,0.0,0.0,0.0,6,0,1,6,5420
setfit,0.5,7,joy,0.5878787878787879,0.6024844720496895,0.5950920245398773,161,97,68,64,5198
setfit,0.5,7,love,0.7394636015325671,0.8109243697478992,0.7735470941883767,238,193,68,45,5121
setfit,0.5,7,nervousness,0.7142857142857143,0.217391304347826,0.3333333333333333,23,5,2,18,5402
