method,data_fraction,seed,emotion,precision,recall,f1,support,tp,fp,fn,tn
svm_tfidf,0.05,7,remorse,0.5789473684210527,0.5892857142857143,0.584070796460177,56,33,24,23,5347
svm_tfidf,0.05,7,sadness,0.5507246376811594,0.24358974358974358,0.3377777777777778,156,38,31,118,5240
svm_tfidf,0.05,7,surprise,0.2753623188405797,0.1347517730496454,0.18095238095238095,141,19,50,122,5236
svm_tfidf,0.1,7,admiration,0.4874551971326165,0.5396825396825397,0.512241054613936,504,272,286,232,4637
svm_tfidf,0.1,7,amusement,0.7272727272727273,0.696969696969697,0.7117988394584139,264,184,69,80,5094
svm_tfidf,0.1,7,anger,0.34146341463414637,0.2828282828282828,0.30939226519337015,198,56,108,142,5121
svm_tfidf,0.1,7,annoyance,0.1952191235059761,0.153125,0.17162872154115585,320,49,202,271,4905
svm_tfidf,0.1,7,approval,0.1855421686746988,0.21937321937321938,0.2010443864229765,351,77,338,274,4738
svm_tfidf,0.1,7,caring,0.16030534351145037,0.15555555555555556,0.15789473684210525,135,21,110,114,5182
svm_tfidf,0.1,7,confusion,0.15,0.1568627450980392,0.15335463258785942,153,24,136,129,5138
svm_tfidf,0.1,7,curiosity,0.11707317073170732,0.08450704225352113,0.09815950920245399,284,24,181,260,4962
svm_tfidf,0.1,7,desire,0.43137254901960786,0.26506024096385544,0.3283582089552239,83,22,29,61,5315
svm_tfidf,0.1,7,disappointment,0.13157894736842105,0.06622516556291391,0.0881057268722467,151,10,66,141,5210
svm_tfidf,0.1,7,disapproval,0.13004484304932734,0.10861423220973783,0.11836734693877551,267,29,194,238,4966
svm_tfidf,0.1,7,disgust,0.4117647058823529,0.2845528455284553,0.33653846153846156,123,35,50,88,5254
svm_tfidf,0.1,7,embarrassment,0.3076923076923077,0.10810810810810811,0.16,37,4,9,33,5381
svm_tfidf,0.1,7,excitement,0.26666666666666666,0.27184466019417475,0.2692307692307692,103,28,77,75,5247
svm_tfidf,0.1,7,fear,0.7631578947368421,0.3717948717948718,0.5,78,29,9,49,5340
svm_tfidf,0.1,7,gratitude,0.8870056497175142,0.8920454545454546,0.8895184135977338,352,314,40,38,5035
svm_tfidf,0.1,7,grief,0.0,0.0,0.0,6,0,4,6,5417
svm_tfidf,0.1,7,joy,0.3696682464454976,0.484472049689441,0.41935483870967744,161,78,133,83,5133
svm_tfidf,0.1,7,love,0.6666666666666666,0.7563025210084033,0.7086614173228346,238,180,90,58,5099
svm_tfidf,0.1,7,nervousness,0.4,0.17391304347826086,0.24242424242424243,23,4,6,19,5398
svm_tfidf,0.1,7,neutral,0.5184782608695652,0.5338556239507555,0.5260545905707196,1787,954,886,833,2754
svm_tfidf,0.1,7,optimism,0.47928994082840237,0.43548387096774194,0.4563380281690141,186,81,88,105,5153
svm_tfidf,0.1,7,pride,0.23076923076923078,0.1875,0.20689655172413793,16,3,10,13,5401
svm_tfidf,0.1,7,realization,0.16981132075471697,0.12413793103448276,0.14342629482071714,145,18,88,127,5194
svm_tfidf,0.1,7,relief,0.0,0.0,0.0,11,0,1,11,5415
svm_tfidf,0.1,7,remorse,0.5757575757575758,0.6785714285714286,0.6229508196721312,56,38,28,18,5343
svm_tfidf,0.1,7,sadness,0.40476190476190477,0.3269230769230769,0.3617021276595745,156,51,75,105,5196
